bill_id,positive,neutral,negative
1696211,0.16231011,0.676812,0.16087788
1862762,0.64165807,0.2848724,0.07346956
1862691,0.0038829893,0.15102625,0.84509075
1642978,0.0066887806,0.65870494,0.33460623
1856477,0.060650874,0.71873796,0.22061113
1854078,0.32958886,0.6114406,0.05897055
1665537,0.098010115,0.62039053,0.28159934
1852135,0.39664823,0.4840529,0.11929894
1843547,0.017614642,0.295245,0.68714035
1726974,0.6585171,0.32259387,0.018889097
1849243,0.10848909,0.5679326,0.3235782
1730184,0.06540942,0.53777784,0.39681277
1738349,0.14131661,0.49687633,0.36180714
1723284,0.5484992,0.37317586,0.078324914
1741715,0.12668099,0.4499164,0.4234025
1738300,0.38603905,0.4248182,0.18914284
1843583,0.5559108,0.22257386,0.2215154
1696355,0.45685184,0.49378672,0.04936144
1710755,0.17700897,0.7177228,0.10526822
1659313,0.69208574,0.11663774,0.1912765
1725879,0.6823209,0.29066148,0.0270176
1641999,0.02309003,0.6156802,0.36122984
1700352,0.6823666,0.29803687,0.019596543
1696282,0.053774815,0.7921686,0.15405655
1847200,0.15414692,0.49463478,0.3512185
1861883,0.36929,0.59294856,0.037761483
1685453,0.1432245,0.26668715,0.5900883
1645958,0.026961999,0.23408432,0.73895365
1715539,0.28294715,0.6591825,0.057870414
1705012,0.13580121,0.5942464,0.2699525
1704378,0.4187397,0.5350327,0.04622759
1724409,0.6846711,0.24741524,0.06791366
1725428,0.12241606,0.85487074,0.022713246
1724594,0.2197382,0.53885394,0.24140783
1870134,0.4243303,0.37798846,0.19768128
1843749,0.037601512,0.62956107,0.33283734
1705624,0.026028777,0.44820598,0.52576524
1842576,0.076813065,0.47248435,0.45070267
1680597,0.29273129,0.6476591,0.0596096
1826009,0.5405312,0.3537251,0.10574361
1647915,0.37319008,0.53418756,0.09262245
1866482,0.6237938,0.24513936,0.13106683
1766177,0.16067573,0.80274606,0.036578245
1643779,0.5806134,0.38081977,0.038566966
1847851,0.3017549,0.6175659,0.08067937
1760635,0.7995906,0.19058716,0.009822317
1785425,0.22051011,0.6774891,0.10200088
1803929,0.14191552,0.7882223,0.06986206
1691421,0.33549872,0.32804963,0.33645162
1739135,0.0056008566,0.32594132,0.6684578
1797055,0.018124007,0.51399404,0.4678819
1722772,0.45626408,0.50068486,0.043051075
1796066,0.13744554,0.29932562,0.5632289
1795237,0.24582934,0.5271639,0.22700675
1721345,0.3681982,0.43010953,0.2016923
1690095,0.372687,0.4802488,0.107561804
1655545,0.33087146,0.47607657,0.1930519
1653992,0.048838083,0.4449836,0.50617826
1684387,0.27047053,0.54093987,0.18858965
1684552,0.3056315,0.46839434,0.22597417
1719827,0.18513967,0.62881494,0.18604548
1669497,0.49047044,0.4624559,0.047073666
1669412,0.22010261,0.5034244,0.27647287
1864797,0.30837715,0.49175364,0.19986922
1677576,0.17476241,0.5802554,0.24498221
1723854,0.07195047,0.729439,0.6574886
1755743,0.018693406,0.5344325,0.5157391
1761968,0.15336421,0.5319488,0.37858456
1775842,0.079388075,0.7135341,0.20707794
